,0
815,"Racing,Open World,Driving,Singleplayer,Arcade,Multiplayer,Classic,Masterpiece,Nudity,Action"
816,"RPG,Adventure,Indie,RPGMaker,Female Protagonist,Horror,JRPG,Singleplayer"
817,"Action,Indie,Strategy,Shooter,Zombies,Singleplayer,Multiplayer"
818,"Story Rich,Great Soundtrack,Indie,Emotional,Adventure,RPGMaker,Singleplayer,Interactive Fiction,Pixel Graphics,Masterpiece,RPG,Romance,Short,2D,Funny,Psychological,Retro,Linear,Cute,Casual"
819,"Indie,Adventure,RPG,Action,Retro,Local Co-Op"
820,"Hacking,Indie,Strategy,Singleplayer,Cyberpunk,Great Soundtrack,Simulation,Classic,Sci-fi,Real-Time with Pause,2D,Experimental,Atmospheric,Story Rich,Addictive,Rogue-like,Perma Death,Puzzle"
821,"Racing,Action,Sports,Simulation,Arcade,Singleplayer,Bikes,Physics"
822,"Indie,Action,Difficult,Fast-Paced,Singleplayer,Arcade"
823,"Action,Indie,Rogue-like,Platformer,2D,Local Co-Op,Co-op,RPG,Rogue-lite,Split Screen,Procedural Generation"
824,"Indie,Twin Stick Shooter,Action,Arcade,Casual,Great Soundtrack,Bullet Hell,Score Attack,Fast-Paced,Shooter,Shoot 'Em Up,Singleplayer,Top-Down,Arena Shooter"
825,"FPS,Classic,Action,World War II,Retro,Singleplayer,1990's,Old School,First-Person,Shooter,Pixel Graphics,Masterpiece,Moddable,2.5D,Cult Classic,Difficult,Adventure,Great Soundtrack,Multiplayer,Gore"
826,"Horror,Adventure,Nudity,Villain Protagonist,Gore,Indie,Puzzle,Singleplayer,Action,Third Person,Stealth,Dark,Psychological Horror,Mature,Atmospheric,Point & Click,Difficult,Violent,Story Rich,Funny"
827,"RPG,Action,Fantasy,Singleplayer,Adventure,Hack and Slash,Third Person,Action RPG,Story Rich,Dark Fantasy,Demons,Atmospheric,Great Soundtrack,Difficult,Masterpiece,Character Customization,Female Protagonist,Open World,Souls-like,Choices Matter"
828,"City Builder,Simulation,Building,Economy,Strategy,Management,Sandbox,Realistic,Moddable,Singleplayer,Multiplayer,Atmospheric"
829,"Female Protagonist,Noir,Puzzle,Indie,Platformer,Adventure,Atmospheric,Singleplayer,Great Soundtrack,Third Person,Short,Story Rich,Detective,Mystery,Puzzle-Platformer,3D Platformer,Masterpiece,Casual,Fantasy,3D Vision"
830,"Action,Indie,Co-op,Online Co-Op,Beat 'em up,Local Co-Op,2D,Side Scroller,Platformer,Multiplayer,Zombies"
831,"Sports,Simulation,Cycling,Management"
832,"Adventure,Point & Click,Mystery,Puzzle,Singleplayer,Story Rich"
833,"Strategy,Turn-Based Strategy,Fantasy,RPG,4X,Turn-Based,Multiplayer,Singleplayer,Tactical,Masterpiece,Hex Grid,Co-op,Adventure,Grand Strategy,Great Soundtrack,Classic,Atmospheric,Moddable,Action,Female Protagonist"
834,"Strategy,RPG,Turn-Based Strategy,Fantasy,Turn-Based,4X,Singleplayer,Multiplayer,Classic,Masterpiece,Magic"
835,"Action,Indie,Strategy"
836,"Strategy,Turn-Based Strategy,Fantasy,Turn-Based,Indie,RPG,Singleplayer,Tactical,4X,Difficult,Masterpiece,Hex Grid,Turn-Based Tactics,Multiplayer,Tactical RPG,Adventure,Local Multiplayer"
837,"Free to Play,Anime,RPG,Action,MMORPG,Massively Multiplayer,Adventure,Fighting,Multiplayer,Side Scroller,PvP,Online Co-Op,Cute,Hack and Slash,Fantasy,2D,Casual,Co-op,Platformer,Beat 'em up"
838,"Free to Play,City Builder,Strategy,Multiplayer,Simulation,Medieval,Classic,RTS,Singleplayer,Action"
839,"Indie,Casual,Arcade,Fantasy,Singleplayer,Dragons,Puzzle,Strategy,Masterpiece,2D"
840,"Clicker,Free to Play,Casual,Indie,RPG,Action"
841,"Action,Zombies,Third-Person Shooter,Third Person,Singleplayer"
842,"Point & Click,Comedy,Indie,Pixel Graphics,Puzzle,Singleplayer,Adventure,Funny,2D,Minigames,Action,Short,Casual,Retro,Level Editor,Experimental,Parody,Great Soundtrack,Fast-Paced,Touch-Friendly"
843,"Action,Indie,Racing,Comedy,Simulation,Memes,First-Person,Singleplayer,Story Rich,Atmospheric,Female Protagonist,Sexual Content,Adventure,FPS"
844,"Zombies,Action,Indie,Pixel Graphics,Local Co-Op,2D,Retro,Survival,RPG,Co-op,Side Scroller,Singleplayer,Local Multiplayer,Casual,Multiplayer,Rogue-like,Gore,Shooter,Controller,Procedural Generation"
845,"Strategy,Tower Defense,Indie,Casual,Co-op,Relaxing,Singleplayer"
846,"Racing,Driving,Minimalist,Indie,Sports,Simulation,Action,Great Soundtrack,Top-Down,Singleplayer,Physics,Casual,Arcade,Controller,Relaxing,Difficult,Open World,Fast-Paced"
847,"Simulation,Driving,Indie,Singleplayer,Open World,Masterpiece"
848,"Indie,RPG,Action,Pixel Graphics,Rogue-like,Adventure,Casual,Dungeon Crawler,Bullet Hell,Rogue-lite,Loot,Strategy,Retro,Hack and Slash,2D,Singleplayer,Great Soundtrack,Difficult,Twin Stick Shooter,Top-Down"
849,"Indie,Adventure,Casual,2D,Underwater,Side Scroller,Platformer"
850,"Indie,Casual,Simulation,Puzzle,Physics,2D"
851,"Indie,Action,Adventure,RPG,Funny,Shooter,Zombies,World War II,2D"
852,"Puzzle,Physics,Casual,Indie,Sandbox,Simulation,Level Editor,Comedy,2D,Singleplayer,Co-op,Early Access,Multiplayer"
853,"Free to Play,Massively Multiplayer,Anime,Adventure,RPG,MMORPG,Multiplayer,PvP"
854,"Strategy,Casual,Tower Defense"
855,"Action,Indie,Platformer,Side Scroller,Shoot 'Em Up,Metroidvania,2D,2.5D"
856,"Action,Platformer,Shoot 'Em Up"
857,"Horror,Indie,Adventure,Action,First-Person,FPS,Singleplayer,Werewolves,Great Soundtrack"
858,"Action,Indie,Casual,Shoot 'Em Up,Bullet Hell"
859,"Indie,RPG,Strategy,Voxel,Turn-Based,Turn-Based Strategy,Fantasy,Strategy RPG"
860,"Casual,Indie,Puzzle,Match 3,Multiplayer,Co-op,Family Friendly,Colorful,Singleplayer,2D,Local Multiplayer,Level Editor,Funny,Replay Value,Difficult,Split Screen,Cute,Retro,Relaxing,Surreal"
861,"Action,Casual,Indie,Pixel Graphics,Singleplayer"
862,"Early Access,Early Access,Casual,Open World,Indie,Singleplayer,Adventure,Building,Sandbox,First-Person,Walking Simulator,Multiplayer,Voxel,Funny,Psychological Horror,Survival"
863,"Survival,Post-apocalyptic,RPG,Turn-Based,Rogue-like,Indie,Perma Death,Crafting,Strategy,Difficult,Sandbox,Inventory Management,Open World,Realistic,Singleplayer,Hex Grid,Turn-Based Strategy,Adventure,Simulation,Hunting"
864,"Shoot 'Em Up,Bullet Hell,Arcade,Classic,Action,Great Soundtrack,Masterpiece,Shooter,Sci-fi,Difficult,Indie,Addictive,Local Co-Op,2D,Singleplayer,Retro,Co-op,Controller,Local Multiplayer,Space"
865,"Casual,Adventure,Strategy,Time Management,Atmospheric,Indie,Resource Management"
866,"Puzzle,Mystery,Point & Click,Atmospheric,Adventure,Singleplayer,Indie,Hidden Object,Short,Horror,Casual,First-Person,Beautiful,Masterpiece,Steampunk,Dark,Lovecraftian,Touch-Friendly,Psychological Horror,Story Rich"
867,"RPG,Open World,Gothic,Adventure,Atmospheric,Singleplayer,Masterpiece,Fantasy,Third Person,Dark Fantasy,Action RPG,Pirates,Action,Story Rich,Magic,Classic,Nudity,Sandbox,Exploration,Old School"
868,"Casual,Strategy,Action,Time Management"
869,"RPG,Masterpiece,Classic,Fantasy,Adventure,Open World,Singleplayer,Remake,Atmospheric,Action RPG,Third Person,Story Rich,Choices Matter,Action,Comedy,Great Soundtrack,Character Customization,Medieval,Magic,Sandbox"
870,"Adventure,Casual,Hidden Object,Puzzle,Mystery"
871,"Casual,Match 3,Indie,Adventure,Atmospheric,Puzzle,Cute"
872,"Casual,Indie,Hidden Object,Steampunk,Puzzle,Point & Click"
873,"Puzzle,Indie,Casual,Singleplayer"
874,"Adventure,Indie,Point & Click,Dark Humor,Comedy,Funny,Story Rich,Hand-drawn,2D,Singleplayer"
875,"Simulation,Indie"
876,"Turn-Based Strategy,Strategy,Sci-fi,Turn-Based,Turn-Based Tactics,Aliens,Singleplayer,Indie,Tactical,Isometric,Base Building,Simulation,Cold War,Kickstarter,Remake,2D,RPG,Masterpiece,Atmospheric,Management"
877,"Rogue-like,RPG,Turn-Based,Indie,Fantasy,Difficult,Singleplayer,Adventure,Moddable,Perma Death,Replay Value,Open World,Procedural Generation,Tactical,Dungeon Crawler,2D,Loot,Top-Down,Masterpiece,Character Customization"
878,"Action,Indie,MOBA,Third-Person Shooter,Sports,Strategy,Multiplayer,Arena Shooter,Comedy,Tower Defense,Co-op,Cartoon"
879,"Strategy,RPG,Turn-Based Strategy,Fantasy,Classic,Turn-Based,Great Soundtrack,4X,Multiplayer,Singleplayer"
880,"Early Access,Survival,Open World,Multiplayer,Crafting,Fantasy,Early Access,RPG,Adventure,Sandbox,Action,Co-op,Medieval,First-Person,Singleplayer,Indie,Simulation,Dragons,Atmospheric,FPS"
881,"Simulation,Space,Mars,Exploration,Science,Survival,Building,Space Sim,Multiplayer,Sandbox,Education,Realistic,Early Access,Co-op,Open World,Moddable,Singleplayer,Futuristic,Adventure,First-Person"
882,"Sandbox,Crafting,Building,Survival,Strategy,Indie,2D,Multiplayer,Simulation,Singleplayer,Open World,City Builder,RPG,Resource Management,Fantasy,Adventure,God Game,Tower Defense,Casual,Side Scroller"
883,"Multiplayer,2D,Action,Building,Pixel Graphics,Indie,Medieval,Sandbox,Team-Based,Platformer,Competitive,Co-op,Strategy,Fast-Paced,Side Scroller,Free to Play,Adventure,Singleplayer,Funny,Casual"
884,"Strategy,Indie,Casual,2D,Action,Tower Defense,Cartoony,Side Scroller,Multiplayer"
885,"Game Development,Animation & Modeling,Web Publishing,Utilities,Education"
886,"RPG,Strategy,Indie,Action RPG,Singleplayer"
887,"Rogue-like,Indie,RPG,Pixel Graphics,Casual,Perma Death,Singleplayer,Difficult,Turn-Based,Hack and Slash,Dungeon Crawler,Loot,2D,Fantasy,Rogue-lite,Retro"
888,"Simulation,Flight,Open World,TrackIR,Sandbox,Co-op"
889,"Platformer,Pixel Graphics,Indie,Action,Difficult,Rogue-like,2D,Fast-Paced,Rogue-lite,Arcade,Retro,Shoot 'Em Up,Singleplayer,Adventure,Procedural Generation,Great Soundtrack,Replay Value,Perma Death,Shooter,GameMaker"
890,"Rogue-like,Indie,RPG,Dungeon Crawler,Local Co-Op,Pixel Graphics,Action,Perma Death,Procedural Generation,4 Player Local,Singleplayer,Fantasy,Rogue-lite,Difficult,Local Multiplayer,VR,Multiplayer,Co-op,Kickstarter,Adventure"
891,"Strategy,Simulation,Fantasy,Singleplayer,Difficult,RTS,Base Building,Masterpiece"
892,"RPG,Indie,Adventure,Rogue-like,Turn-Based,Fantasy"
893,"Action,FPS,Multiplayer,Shooter,Indie,Building,Sandbox,First-Person,Character Customization,Voxel,Pixel Graphics,Open World,Zombies,Gun Customization,Destruction,Massively Multiplayer,Level Editor,Early Access,Singleplayer,Walking Simulator"
894,"Early Access,Free to Play,Sandbox,Multiplayer,Indie,Simulation,Casual,Early Access,Arcade,VR,Funny,Adventure,Singleplayer,Co-op,Action,Open World,3D Vision,First-Person,Building,Comedy"
895,"Board Game,Strategy,Casual,Indie,Turn-Based,Multiplayer,Singleplayer,Fantasy,Local Multiplayer"
896,"Action,Twin Stick Shooter,Arcade,Top-Down,Local Co-Op,Co-op,Online Co-Op,Shoot 'Em Up,Local Multiplayer,Split Screen,Racing,Shooter,Controller,Multiplayer,Top-Down Shooter"
897,"Racing,Indie,Flight,Controller,Multiplayer,Action,Arcade"
898,"Action,Multiplayer,FPS,Indie,Arena Shooter,Competitive,First-Person,Shooter"
899,"Free to Play,Strategy,RTS,Multiplayer,Mod,Action,Co-op,Zombies,Singleplayer,Sandbox,Sci-fi,Survival,Shooter,Adventure,Atmospheric,Aliens,Masterpiece,Open World,First-Person,FPS"
900,"Free to Play,Visual Novel,Anime,Nudity,Simulation,Indie,Adventure,Casual"
901,"Free to Play,Indie,Strategy,2D,Singleplayer"
902,"Action,Indie,Adventure,Singleplayer,Horror,Gore,Survival Horror,Psychological Horror,Dark,Sci-fi,Realistic,Difficult,Strategy,Casual,3D Vision,Atmospheric,Underwater,Open World,First-Person"
903,"Free to Play,Anime,Visual Novel,Adventure,Female Protagonist,Cyberpunk,Indie,Hacking,2D,Nudity,Short"
904,"Anime,Board Game,Cute,Multiplayer,Card Game,Strategy,Turn-Based,Casual,Indie,Great Soundtrack,Funny,Co-op,Female Protagonist,Difficult,Singleplayer,Memes,Family Friendly,2D,Comedy,Survival Horror"
905,"Zombies,Co-op,Action,World War II,Multiplayer,Third-Person Shooter,Sniper,Horror,Gore,Survival,Shooter,Singleplayer,Post-apocalyptic,Survival Horror,Third Person,War,FPS,Open World,First-Person,Female Protagonist"
906,"Funny,Comedy,Multiplayer,Physics,Sports,Local Multiplayer,Indie,Competitive,Simulation,Sexual Content,Co-op,2D,Local Co-Op,Casual,Mature,Psychological Horror,4 Player Local,Online Co-Op,Singleplayer,Action"
907,"Sports,Pool,Simulation,Casual,Indie,Multiplayer,Relaxing,Strategy,Singleplayer,Physics,Addictive,Sandbox,Local Multiplayer"
908,"Early Access,Survival,Open World,Multiplayer,Crafting,Building,PvP,Sandbox,Adventure,Early Access,Action,First-Person,Co-op,FPS,Shooter,Third Person,Simulation,Singleplayer,Indie,Cartoony"
909,"Horror,Free to Play,Adventure,Multiplayer,Survival,First-Person,Action,Survival Horror,Indie,Singleplayer,Walking Simulator,Zombies,Psychological Horror,Open World,Co-op,Crafting,Atmospheric,Nudity,VR,Funny"
910,"Racing,Simulation,Sports,Massively Multiplayer,Realistic,Multiplayer,Driving,VR,First-Person,Singleplayer"
911,"Indie,Action,Adventure,Stealth,Top-Down,Level Editor,Dark,PvE,Destruction,Underground"
912,"Strategy,Pirates,Action,Singleplayer,RTS"
913,"Simulation,Management,Casual,Strategy,Indie,Economy"
914,"Simulation,Strategy,Management"
915,"Simulation,Strategy,Economy,Management"
916,"Simulation,Strategy,Indie,Politics"
917,"FPS,Classic,Action,Arena Shooter,Multiplayer,Shooter,Masterpiece,Competitive,1990's,First-Person,Gore,Fast-Paced,Difficult,Sci-fi,Singleplayer,Moddable,e-sports,Old School,Atmospheric,Female Protagonist"
918,"Indie,Casual,Action,RPG,Space"
919,"Action,Hack and Slash,Female Protagonist,RPG,Anime,Adventure,Nudity,Singleplayer,Fantasy,Violent,Character Action Game,Third Person,Great Soundtrack,Spectacle fighter"
920,"Action,Flight,Simulation"
921,"Indie,Puzzle,Physics"
922,"Utilities,Controller,Software"
923,"Action,Multiplayer,Underwater,Gore,Team-Based,Horror,Survival,PvP,Co-op,FPS,Shooter,Hunting,Survival Horror,First-Person,Atmospheric,Exploration,Simulation,Adventure,Indie,Singleplayer"
924,"Adventure,Indie,Point & Click,Puzzle,Short,Casual,Singleplayer,2D"
925,"Adventure,Point & Click,Indie,Sci-fi,Post-apocalyptic,Hand-drawn,Singleplayer,Puzzle,Female Protagonist,Story Rich,Masterpiece,2D,Atmospheric"
926,"Action,Indie"
927,"Indie,Puzzle,Casual"
928,"Early Access,Action,Indie,Simulation,Early Access,War,Online Co-Op"
929,"Visual Novel,Adventure,RPG,Indie,Choices Matter,Singleplayer,Multiple Endings,Point & Click,Short,Story Rich,Sexual Content"
930,"Action,Indie,Pixel Graphics,2D,Local Co-Op,Co-op,Retro,Platformer,Shoot 'Em Up,Arcade,Great Soundtrack,Classic,Dog,Driving,Controller,Singleplayer,Old School"
931,"Adventure,Classic,Action,Pixel Graphics,Historical,1980s,America,Difficult,Third Person"
932,"RPG,Dragons,Singleplayer,Simulation"
933,"Puzzle,Indie,Casual,Singleplayer,Relaxing,Minimalist,2D,Difficult,Touch-Friendly,Logic,Abstract,Atmospheric,Mouse only,Strategy,Action"
934,"Action RPG,Dark Fantasy,Hack and Slash,RPG,Loot,Dungeon Crawler,Dark,Co-op,Multiplayer,Singleplayer,Fantasy,Action,Adventure,Atmospheric,Isometric,Post-apocalyptic,Indie,Zombies,Kickstarter,Crowdfunded"
935,"Survival,Open World,Exploration,Underwater,Crafting,Base Building,Singleplayer,First-Person,Adventure,Horror,Sci-fi,Sandbox,Aliens,Atmospheric,Early Access,Action,Indie,Survival Horror,VR,Multiplayer"
936,"Strategy,Action,Medieval,RTS"
937,"Early Access,FPS,Remake,Action,Sci-fi,First-Person,Singleplayer,Classic,Shooter,Atmospheric,Early Access,Story Rich,Zombies,Great Soundtrack,Adventure,Aliens,Horror,Multiplayer,Indie,Mod"
938,"Visual Novel,Anime,Indie,Sci-fi,Economy,Singleplayer,Story Rich"
939,"Simulation,Trains,Management,Strategy,Economy,Sandbox,Indie,City Builder,Singleplayer,Building,Casual,Transportation,Adventure,Open World,Moddable,Masterpiece,Multiplayer,Great Soundtrack"
940,"Early Access,Survival,Open World,Space,Building,Sandbox,Multiplayer,Crafting,Exploration,Sci-fi,Early Access,Adventure,Co-op,Singleplayer,Simulation,First-Person,Aliens,Strategy,Indie,Action"
941,"World War II,Strategy,Action,Naval,Simulation,RTS,Military,Flight,Multiplayer,Singleplayer,Open World,Historical,Alternate History"
942,"Early Access,Building,Sandbox,Medieval,Physics,Open World,Destruction,Multiplayer,Simulation,Crafting,Survival,Early Access,Strategy,Singleplayer,Realistic,Action,Indie,Co-op,Adventure,Atmospheric"
943,"Strategy,Building,Sandbox,Indie,Survival,Multiplayer,Singleplayer,Open World,Crafting,Early Access,Tower Defense,Kickstarter,Co-op,Voxel,RTS,Simulation,Adventure,Casual,Crowdfunded,Moddable"
944,"Strategy,Free to Play,RTS,Massively Multiplayer,RPG,Medieval,Building,Indie,Fantasy,Multiplayer,Simulation,City Builder,Singleplayer,War,Co-op,MMORPG,Action,Sandbox,Online Co-Op,Open World"
945,"Racing,Simulation,Driving,Realistic,Multiplayer,Sports,VR,Moddable,Physics,Controller,Singleplayer,First-Person,Replay Value,Indie,Open World,Action,3D Vision,TrackIR,Artificial Intelligence,Early Access"
946,"Mechs,Action,Shooter,Third-Person Shooter,Sci-fi,Third Person,Robots,Singleplayer"
947,"Survival Horror,Zombies,Horror,Classic,Remake,Atmospheric,Singleplayer,Puzzle,Survival,Adventure,Action,Third Person,Cult Classic,Female Protagonist,Masterpiece,Story Rich,Difficult,Gore,Shooter,Great Soundtrack"
948,"Early Access,Early Access,Free to Play,Action,Multiplayer,FPS,Indie,Shooter,First-Person,Massively Multiplayer,Funny"
949,"Simulation,Singleplayer,Education,First-Person,Realistic,Puzzle,Masterpiece,Racing,Strategy,Indie,Great Soundtrack,Casual,Multiplayer,Management,RPG"
950,"Indie,Platformer,Action,Atmospheric,Great Soundtrack,Puzzle,Difficult,Casual,Singleplayer,2D"
951,"Action,Multiplayer,FPS,Comedy,Funny,Shooter,First-Person,Gore"
952,"Action,Racing,Indie,Free to Play,Mod,Multiplayer,Shooter"
953,"Zombies,Action,Indie,Survival,Multiplayer,Singleplayer,Top-Down Shooter,Horror"
954,"Strategy,Trading,Simulation,Economy,Pirates,Management,Naval,Action,Historical,Open World,Sailing,Singleplayer,Adventure"
955,"Strategy,Medieval,City Builder,RTS,Multiplayer,Simulation,Historical,Classic,Singleplayer,Co-op,Building,Atmospheric,Resource Management,Masterpiece,Action,Sandbox,Tactical,Open World,Adventure,Survival"
956,"Space,Simulation,Indie,Strategy,Trading,Adventure,Management,Sci-fi,Economy,Space Sim,Singleplayer,Funny,Exploration,Experimental,Procedural Generation,Replay Value,Great Soundtrack,Atmospheric,Sandbox,Open World"
957,"RPG,Indie,Strategy,Rogue-like,Turn-Based,Sci-fi,Singleplayer,Isometric,Space"
958,"Strategy,RPG,Indie,Turn-Based,Turn-Based Tactics,Villain Protagonist"
959,"Strategy,Turn-Based,Turn-Based Strategy,Tactical,Top-Down,Sci-fi,Asynchronous Multiplayer,Cyberpunk,Great Soundtrack"
960,"Action,Indie,Strategy,Co-op,MOBA"
961,"Strategy,Adventure,Indie,Simulation"
962,"Soundtrack,Indie"
963,"Funny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,Simulation"
964,"Action,Indie,Great Soundtrack,Music,Shoot 'Em Up,Fast-Paced,Score Attack,Short,Bullet Hell,Replay Value,Arcade,2D,Singleplayer,Difficult,Platformer,Pixel Graphics,GameMaker,Retro,Controller,Casual"
965,"Adventure,Indie,Mystery,Horror"
966,"Hidden Object,Casual,Indie,Puzzle,Point & Click,Adventure,Female Protagonist,Singleplayer"
967,"RPG,Strategy,Turn-Based,Classic,Horror,Post-apocalyptic,Singleplayer,Turn-Based Strategy,Isometric,Atmospheric,Tactical,Sci-fi,Masterpiece,Tactical RPG"
968,"Action,Casual,Shoot 'Em Up,Arcade"
969,"Adventure,Casual,Indie,Female Protagonist,Point & Click"
970,"Free to Play,Survival,Multiplayer,Sandbox,Open World,Action,Adventure,First-Person,Co-op,Building,Crafting,Sexual Content,Massively Multiplayer,Difficult,Zombies,Shooter,Singleplayer,Voxel,Story Rich,Masterpiece"
971,"Free to Play,Relaxing,Simulation,Casual,Atmospheric,Singleplayer,Indie,Cute,Great Soundtrack,Sandbox,Family Friendly,Agriculture,Nature,Real-Time"
972,"Free to Play,Space,Open World,RPG,Action,Indie,2D,Arcade,Procedural Generation,Replay Value,Difficult,Singleplayer,Rogue-like,Multiplayer,Pixel Graphics,Sci-fi,Survival,Sandbox,Building"
973,"RPG,Rogue-like,Free to Play,Indie,Casual,Strategy,Pixel Graphics,Retro,Singleplayer,Rogue-lite"
974,"Indie,Platformer,Action,Difficult,2D,Great Soundtrack"
975,"Indie,Free to Play,Villain Protagonist,Funny,Casual,Fantasy,Comedy,Adventure,Episodic,Action,Singleplayer,Third Person,Trading Card Game,3D Platformer,Cute,Horror,Puzzle,Platformer,Dark Humor,Dark Fantasy"
976,"Early Access,RPG,Adventure,Pixel Graphics,Action RPG,Multiplayer,Online Co-Op,Action,2D,Indie,Co-op,Early Access,Open World,JRPG,Character Customization,Puzzle,Rogue-like,Great Soundtrack,Top-Down,Singleplayer"
977,"Free to Play,Horror,Multiplayer,First-Person,Survival,Adventure,Singleplayer,Walking Simulator,Survival Horror,Dark,Open World,Indie,Action,Zombies,Short,VR,Co-op,FPS,Comedy,Massively Multiplayer"
978,"Strategy,Indie,Simulation,Tower Defense,Tanks"
979,"Shoot 'Em Up,Indie,Action,Arcade,Bullet Hell,Shooter,Sci-fi,Retro,Space,Side Scroller,Singleplayer,Great Soundtrack,Difficult,Old School,Survival"
980,"RPG,Action,Comedy,Indie,Action RPG,Hack and Slash,Parody,Singleplayer,Local Co-Op,Funny"
981,"Music,Rhythm,Indie,Music-Based Procedural Generation,Moddable,Casual,Singleplayer,Arcade,Local Multiplayer,Racing,Puzzle,Great Soundtrack,Local Co-Op,Multiplayer,Mouse only,Procedural Generation,Controller,Colorful,Masterpiece,Difficult"
982,"Strategy,Free to Play,Multiplayer,World War II,Action,Casual,Singleplayer,Tower Defense,War,Building,Co-op,Online Co-Op,RPG,Adventure,Funny,Indie,Shooter,Gore,FPS"
983,"Free to Play,Action,Indie,Multiplayer,Aliens,Survival"
984,"Action,Mechs,Robots,Shooter,Third-Person Shooter,Singleplayer,Sci-fi"
985,"Education,Indie,Simulation,Singleplayer,Kickstarter,Casual,FPS,Puzzle,Masterpiece"
986,"Adventure,Indie,First-Person,Puzzle,Exploration,Walking Simulator,Story Rich,Atmospheric,VR,Horror,Singleplayer,Casual,Psychological"
987,"Visual Novel,Anime,Dating Sim,Female Protagonist,Story Rich,Comedy,Romance,Otome,Multiple Endings,Singleplayer,Indie,Simulation,Casual,Funny,Great Soundtrack,Parody,Memes,Mystery,Illuminati,Adventure"
988,"Early Access,God Game,Strategy,Simulation,Indie,Kickstarter,Early Access,Sandbox,Casual,Singleplayer,Open World,Multiplayer,Crowdfunded,City Builder,Management,Free to Play,Masterpiece,Adventure,Addictive"
989,"Visual Novel,Anime,Indie,Comedy,Adventure,Female Protagonist,RPG,Singleplayer,Cute,Simulation,RPGMaker,Dating Sim"
990,"Indie,Visual Novel,Adventure,Anime,Cute,Female Protagonist,Comedy"
991,"RPG,Fantasy,Isometric,Classic,Action RPG,Singleplayer,Open World,Real-Time with Pause,Hack and Slash,Adventure,Exploration,2D,Action,CRPG,Great Soundtrack,Funny,Story Rich,Atmospheric,Female Protagonist,Masterpiece"
992,"Casual,Indie,Puzzle,Horror,Board Game"
993,Strategy
994,"Adventure,Point & Click,Classic,Comedy,Story Rich,Noir,Cult Classic,Great Soundtrack,Singleplayer,Remake,Puzzle,Atmospheric,Retro,Funny,Masterpiece,Dark Humor,1990's,Third Person,Indie,Difficult"
995,"Indie,Simulation,Strategy"
996,"Indie,Action,Shoot 'Em Up,Great Soundtrack,Bullet Hell,Shooter"
997,"Anime,Action,Indie,Female Protagonist,Cute,Character Action Game,Multiplayer,Hack and Slash,Fighting,Beat 'em up,Nudity,Magic,Singleplayer,Fantasy,Great Soundtrack,Online Co-Op,Tactical,Surreal,Co-op,PvP"
998,"Indie,Puzzle,Platformer,Casual,Adventure,Female Protagonist,2D,Mythology,Physics"
999,"Shoot 'Em Up,Indie,Action,Bullet Hell,Shooter,Arcade,Great Soundtrack,Epic,Singleplayer"
1000,"RPG,Strategy,Anime,Tactical RPG,Strategy RPG,JRPG,Turn-Based Strategy,Tactical,Indie,Turn-Based Combat,Cute,Fantasy,Singleplayer,Turn-Based,Great Soundtrack,Dungeon Crawler,Turn-Based Tactics,Party-Based RPG,Cartoony,Simulation"
1001,"Horror,Adventure,Survival Horror,Psychological Horror,Third Person,Great Soundtrack,Story Rich,Singleplayer,Action,Atmospheric,Dark,Survival,Gore"
1002,"Indie,Puzzle,Sokoban,Education,Science,Casual,Singleplayer,Difficult,Minimalist,Abstract,Strategy,Controller,Cute,Great Soundtrack,Family Friendly,Stylized,Relaxing,Colorful"
1003,"Survival,Open World,Multiplayer,Zombies,Post-apocalyptic,Crafting,PvP,Massively Multiplayer,Action,Sandbox,Co-op,Early Access,FPS,First-Person,Horror,Simulation,Walking Simulator,Indie,Singleplayer,MMORPG"
1004,"Early Access,Sandbox,Open World,Survival,Crafting,Building,Indie,Multiplayer,Simulation,Casual,Exploration,RPG,Adventure,Early Access,Strategy,Voxel,Singleplayer,First-Person,Masterpiece,Co-op"
1005,"Free to Play,Action,Multiplayer,Flight,Simulation,Strategy,Casual,RPG,World War II,Massively Multiplayer,Arcade,Singleplayer"
1006,"Indie,Short,Funny,Surreal,Casual,Psychological Horror,Adventure,Nudity,Puzzle,Singleplayer,Horror,Story Rich,Point & Click,Action,Memes,Illuminati,Sexual Content,Psychological,Open World,Masterpiece"
1007,"Indie,Adventure,Cute,Survival,Singleplayer,Short,Simulation,Atmospheric,Nature,Emotional,Female Protagonist,Great Soundtrack,Casual,Open World,Walking Simulator,Third Person,Stylized,Exploration,Family Friendly,Masterpiece"
1008,"Indie,Casual,Detective,Funny,Puzzle,Singleplayer"
1009,"Indie,Action,Adventure,Comedy,Pixel Graphics,Retro,Perma Death,Rogue-like,2D,Singleplayer,Funny,Difficult,Shoot 'Em Up,Shooter,Masterpiece,Side Scroller,Western,Great Soundtrack,Replay Value,Bullet Hell"
1010,"Simulation,Family Friendly,Cute,Singleplayer"
1011,"Indie,Story Rich,Great Soundtrack,Pixel Graphics,Short,RPGMaker,Adventure,Singleplayer,Interactive Fiction,2D,RPG,Visual Novel,Atmospheric,Retro,Walking Simulator,Casual,Emotional,Masterpiece,Surreal,Top-Down"
